Word,Subject,voice,Condition,RT
arming,620,nz,Noise,945
arming,607,nz,Music,1973
arming,614,nz,Noise,1461
arming,633,nz,Noise,1086
arming,631,nz,Noise,795
arming,627,nz,Noise,1106
arming,606,nz,Silence,1288
arming,617,nz,Music,556
arming,636,nz,Silence,1488
arming,613,nz,Noise,885
arming,623,nz,Music,1013
arming,604,nz,Noise,920
arming,637,nz,Noise,866
arming,630,nz,Silence,939
arty,610,nz,Music,999
arty,622,nz,Silence,909
arty,629,nz,Music,840
arty,625,nz,Silence,1236
arty,613,nz,Silence,838
arty,614,nz,Music,1059
arty,633,nz,Music,960
arty,608,nz,Music,1376
arty,632,nz,Noise,1203
arty,619,nz,Music,875
arty,601,nz,Noise,979
arty,631,nz,Noise,887
arty,609,nz,Noise,921
arty,626,nz,Noise,936
arty,612,nz,Noise,1232
arty,624,nz,Silence,935
arty,637,nz,Silence,975
arty,636,nz,Music,646
arty,628,nz,Music,726
arty,627,nz,Silence,979
arty,615,nz,Silence,1076
arty,603,nz,Music,1217
asking,630,nz,Silence,498
asking,615,nz,Noise,1011
asking,608,nz,Noise,939
asking,628,nz,Music,662
asking,629,nz,Music,881
asking,625,nz,Noise,839
asking,631,nz,Music,806
asking,613,nz,Noise,838
asking,611,nz,Noise,870
asking,604,nz,Noise,818
asking,634,nz,Music,790
asking,622,nz,Music,1824
asking,606,nz,Silence,788
asking,621,nz,Noise,834
asking,624,nz,Noise,947
basket,628,nz,Noise,759
basket,611,nz,Music,960
basket,617,nz,Silence,860
basket,622,nz,Music,979
basket,636,nz,Silence,1317
basket,613,nz,Music,1001
basket,602,nz,Music,927
basket,630,nz,Noise,868
basket,626,nz,Silence,734
basket,607,nz,Music,744
basket,627,nz,Silence,1490
basket,608,nz,Noise,837
basket,609,nz,Silence,1028
basket,625,nz,Music,1147
basket,601,nz,Music,896
basket,606,nz,Silence,756
basket,632,nz,Noise,880
basket,603,nz,Noise,890
basket,620,nz,Music,878
blasting,636,nz,Noise,1331
blasting,631,nz,Noise,1008
blasting,609,nz,Silence,989
blasting,620,nz,Silence,986
blasting,634,nz,Music,618
blasting,623,nz,Music,1039
blasting,602,nz,Noise,1160
